fracture_id,true_length,gen_length,hausdorff,endpoint_error,frechet,path_similarity,length_error
558.0,3,3,10952.886305180165,10952.886305180165,10952.886305180165,0.8319093962576256,25.395896912780742
559.0,4,4,10145.777839492803,10145.777839492803,10145.777839492803,0.9221396100450058,16.493139983652956
560.0,2,2,10200.700123765087,10842.2458485247,10842.2458485247,8.24539383477152e-05,14.89772495181023
562.0,26,19,8137.444628416218,11329.988211683372,11329.988211683372,0.6821515709948052,1.5532626441113793
697.0,10,10,4538.5733071434115,7260.756987902108,7260.756987902108,0.8891403455184057,2.261220181061069
698.0,14,14,7978.054412139013,7978.054412139013,7978.054412139013,0.8749896430355076,2.3628687012641634
702.0,8,8,10787.992795938291,10796.00168524866,10796.00168524866,0.9243287356672545,10.84026272172456
704.0,6,6,8701.267320709452,10725.876113326307,10725.876113326307,0.801151516814779,5.013216341372307
705.0,6,6,6213.57287644242,9300.20055633667,9300.20055633667,0.8012362161216335,2.7015300249033896
709.0,10,10,7979.114782716157,7979.114782716157,7979.114782716157,0.9989415694908756,3.334340626163224
710.0,6,6,7214.243913132736,8130.857578853107,8130.857578853107,0.8063641169448912,7.945452074238448
711.0,3,3,6422.977023610433,6759.879461917913,6759.879461917913,0.5035398471171582,18.291412976683127
712.0,3,3,9020.661803864336,9020.661803864336,9020.661803864336,0.8245832297014879,35.49451533754844
713.0,3,3,8953.52391212175,8953.52391212175,8953.52391212175,0.8353905070693078,27.80297324279162
714.0,10,10,6242.408650558108,7065.6644305708005,7065.6644305708005,0.9118948334103195,4.487737623920352
715.0,3,3,7595.754344317869,8117.659982118761,8117.659982118761,0.5113348570628997,14.105750171382612
716.0,3,3,7678.489797208483,7765.365335815407,7765.365335815407,0.6824419794915265,27.02920406463056
717.0,2,2,7798.327681593928,7857.971187481521,7857.971187481521,0.29573406512544576,53.40860745277612
718.0,3,3,8411.1362206967,8411.1362206967,8411.1362206967,0.7917933387878933,16.42272122750219
719.0,6,6,6391.373232509878,7167.539155693762,7167.539155693762,0.8159232793128913,8.247029757815755
720.0,5,5,7097.875825052483,7406.294317021154,7406.294317021154,0.7923521859665001,17.769365154243165
721.0,7,7,6735.274092115416,7417.166599771729,7417.166599771729,0.844691895973626,9.294423769742227
722.0,6,6,6841.924499288993,6841.924499288993,6841.924499288993,0.9466034637665907,8.163526721387885
723.0,6,6,6421.492174593204,7152.255622806556,7152.255622806556,0.8189923239351373,7.6162826181231535
724.0,3,3,7801.340828337827,7801.340828337827,7801.340828337827,0.9750678980419318,13.980307827091139
725.0,6,6,7885.055416532354,7885.055416532354,7885.055416532354,0.9999993098166087,10.581199000436442
726.0,5,5,7458.609312350367,8043.064181476887,8043.064181476887,0.7724347971277132,10.477129773577575
728.0,4,4,8849.43130563435,8849.43130563435,8849.43130563435,0.9442154841969113,19.027496718836883
729.0,4,4,8913.866343024414,8913.866343024414,8913.866343024414,0.9445360005804875,21.85912166391021
730.0,3,3,9514.417734089206,9514.417734089206,9514.417734089206,0.8753744644609822,9.694603279544877
731.0,6,6,9261.111217657422,10421.153971238036,10421.153971238036,0.800000580976873,8.5993929345247
732.0,3,3,9344.423311670096,9824.435006723012,9824.435006723012,0.6248249076737229,10.706357878376986
733.0,3,3,8727.895659750144,9134.365307242711,9134.365307242711,0.5914734186947219,13.037154661100727
734.0,5,5,8736.924318067011,8736.924318067011,8736.924318067011,0.9465467955825854,9.298923770219949
735.0,5,5,8930.157352173255,8930.157352173255,8930.157352173255,0.9504959526480865,33.76744452792831
736.0,3,3,8689.401329363796,8689.401329363796,8689.401329363796,0.8865692223115402,32.26122911195431
737.0,4,4,9145.007962421652,9435.31401906105,9435.31401906105,0.7661002055319205,10.747530267668216
738.0,2,2,9414.791603775944,10198.869280156136,10198.869280156136,0.0036948791801025838,10.925584013486732
739.0,6,6,9288.359228612773,9597.541306579013,9597.541306579013,0.8651768730899793,10.067753700167566
740.0,3,3,7712.725599084019,7982.748401066889,7982.748401066889,0.5432551671714102,24.523035300530218
741.0,3,3,6719.3239286274875,6969.862186898681,6969.862186898681,0.5267527041466079,23.304632387002346
742.0,5,5,6428.464787770455,6852.604037086286,6852.604037086286,0.7566412286229512,15.395020445778794
743.0,2,2,6709.1460945184535,7044.83209297817,7044.83209297817,0.010325532620417355,18.59348930289706
744.0,6,6,6654.262557364721,6654.262557364721,6654.262557364721,0.9915066614907408,8.152723545823871
745.0,2,2,8087.133001963064,8087.133001963064,8087.133001963064,0.8971932201506357,76.72065647976262
746.0,2,2,6377.713854716306,6479.006366202146,6479.006366202146,0.028087771426457242,58.48321935253686
747.0,3,3,6446.400758436367,7012.920789977448,7012.920789977448,0.5130183449154999,10.205902622767395
748.0,4,4,6559.328536973058,6984.72567764088,6984.72567764088,0.6887102651476482,12.775333924289459
749.0,2,2,6261.326589951448,6439.995670225415,6439.995670225415,0.07015080571789595,29.27433229077721
