fracture_id,hausdorff,frechet,endpoint_error,length_error,path_similarity,true_n_pts,gen_n_pts
558,0.5032616220866748,1.216075264517759,1.216075264517759,1.6185704721478695,0.9999999994647548,3,17
559,0.7778085074328309,2.312830236834513,2.312830236834513,1.3552028365390403,0.9999999954198356,4,17
562,9.06206687516484,9.063163453377111,9.063163453377111,0.3914531725454428,0.7370679505913551,26,21
697,1.2776943582339184,6.806457218682366,6.806457218682366,0.5736384157534659,1.000000006515612,10,21
698,6.98241250927359,6.98241250927359,6.98241250927359,0.2269869646559817,0.8362295345817888,14,21
702,0.6477373670904032,3.8560423318106483,3.8560423318106483,1.6751880895427549,0.9999999974859011,8,20
704,0.7916220556376284,2.2930387951460625,2.2930387951460625,1.5432048213912313,1.0000000133173574,6,18
705,1.375688681689979,3.5099337806903392,3.5099337806903392,1.3227891408191261,1.0000000037785335,6,18
709,0.5491429884930998,5.5086867065789855,5.5086867065789855,0.5034687846499138,0.9999999996421249,10,21
710,1.0311307894016783,3.6593182456164555,3.6593182456164555,1.4252846705101105,0.9999999951342143,6,18
711,0.5120071583453591,1.1366182910323221,0.9068709067020285,1.5655357162555799,0.9999999948516465,3,17
712,0.3835016794702076,1.1118840102574894,1.1118840102574894,1.5477909455411727,0.9999999906300613,3,17
713,0.4000457252445989,1.1230551164835931,1.1230551164835931,1.5366150802337195,0.9999999841506424,3,17
714,0.65963425241655,5.640140667495863,5.640140667495863,0.5674632932043369,0.9999999897051085,10,21
715,0.3089090347040933,0.6691646312275477,0.666576653097675,1.4386362988855863,0.9999999972846773,3,17
716,0.4246471747235932,1.0337719945745831,1.0327200846428777,1.5830284786578792,0.9999999996837262,3,17
718,0.4755476335988115,0.8615079840765684,0.8615079840765684,1.4525239357558544,0.9999999889882643,3,17
719,0.8018899744846023,2.8777411948546123,2.8777411948546123,1.6217171157080812,1.000000013200756,6,18
720,0.4382060364161287,1.783820067372012,1.783820067372012,1.6404548779695238,0.9999999914872818,5,17
721,2.1338080623442264,4.3652608186282045,4.3652608186282045,1.722611728061277,0.9999999979628047,7,19
722,1.3541987708376397,2.855777514467738,2.855777514467738,1.5971521018956023,1.0000000018134407,6,18
723,0.7730798260397398,2.9821873663803826,2.9821873663803826,1.562424341715477,0.9999999917942406,6,18
724,0.5383674326949537,1.3009297148939596,1.3009297148939596,1.5236577521939514,1.000000009664842,3,17
725,0.6962209245689923,2.9199399308826273,2.9199399308826273,1.478949993623421,0.9999999943539677,6,18
726,0.7164189766309685,1.8959178543529303,1.8959178543529303,1.556829647380872,0.9999999922987595,5,17
728,0.9133221821405123,1.936709441335548,1.936709441335548,1.4886722752853203,1.0000000134512959,4,17
729,0.5471186105181579,1.5489705662218307,1.5489705662218307,1.4398291342449474,0.9999999976216921,4,17
730,0.5302707819586329,1.2439344039998392,1.2439344039998392,1.5899142421980301,1.000000011479162,3,17
731,0.6617822823974957,2.6452377383102004,2.6452377383102004,1.4689909237020482,1.0000000014560089,6,18
732,0.4520191476872314,0.6778921423082401,0.6778921423082401,1.5260977267124891,0.9999999986612969,3,17
733,0.4870201981173929,0.9948338892154333,0.8574446890405346,1.546813429855614,0.9999999838239094,3,17
734,0.6341264207668624,2.5313955589033865,2.5313955589033865,1.6334817923969667,1.0000000137692315,5,17
735,0.9110940841968799,2.9332954520689083,2.9332954520689083,1.5981274228143305,1.000000007371792,5,17
736,0.43536575146040973,1.1221051247797298,1.1221051247797298,1.4676639847959374,0.9999999876182064,3,17
737,0.4994461431272334,1.4803012660117716,1.4803012660117716,1.469063832131502,1.0000000023909708,4,17
739,1.0261157135932752,3.511038938072828,3.511038938072828,1.4202246321947076,1.0000000003355518,6,18
740,0.34295864530291037,0.9979112930985204,0.8000246665441891,1.4945640243702099,0.9999999914384345,3,17
741,0.3464690623544659,0.9927141333751326,0.8511804670049847,1.5024392245189133,0.9999999859345343,3,17
742,0.6124507216875348,2.0046481341679088,2.0046481341679088,1.5244538659107114,0.9999999930301013,5,17
744,0.6498373326462498,3.0534959294720783,3.0534959294720783,1.6299270866948923,1.0000000083468212,6,18
747,0.5553060798241849,1.167289113268281,0.9771316473599717,1.6027175519127084,0.9999999966340343,3,17
748,0.45925823890018036,1.303147980323537,1.303147980323537,1.620846565177124,1.0000000137471499,4,17
750,1.3131910312347674,4.278070806736727,4.278070806736727,1.6292665684256313,0.9999999973153456,7,19
751,0.8581259950930273,2.762085297919216,2.762085297919216,1.60225864125557,1.0000000023024707,5,17
752,0.454067169417945,1.1785137174425733,1.1785137174425733,1.4672895863428086,1.000000013532206,4,17
755,0.4719673171654459,2.529419053231622,2.529419053231622,1.5108712768280148,1.0000000106635794,6,18
756,0.29380250096706795,0.9731848885229772,0.9731848885229772,1.5444456961304234,1.0000000043626445,3,17
757,0.507952654792029,2.573847242217804,2.573847242217804,1.557287392297679,0.9999999961251469,6,18
759,0.6784230809960828,1.4222136494122202,1.4222136494122202,1.6722599251310237,1.0000000127446702,3,17
761,0.5800894953023957,4.929186556886026,4.929186556886026,0.4995519077032233,1.00000000904297,10,21
762,0.43686305628373495,1.132415287655506,1.132415287655506,1.53780836462548,0.999999979367675,3,17
764,0.6828809899812717,1.290760187991756,1.287772098460691,1.7805748619708697,1.0000000030930123,3,17
765,0.6561002496519188,2.076334151975652,2.076334151975652,1.5069992247736277,0.9999999908966242,5,17
766,0.8281149739627518,2.85657108372799,2.85657108372799,1.4938021522730602,0.999999996715397,8,20
767,0.3759848484901378,0.9281698580946278,0.9281698580946278,1.499888385416525,1.000000027585992,3,17
768,0.7727360928979767,3.4240046366378927,3.4240046366378927,1.4311779331739343,1.0000000068712978,9,21
769,0.8276527326070319,2.2876039697919364,2.2876039697919364,1.406733416050649,1.0000000005211105,4,17
