type,value
true,0.6705061170897355
true,1.3294938829102643
true,0.9243988594191002
true,1.0
true,1.9258612126185028
true,1.586631314842818
true,1.1692294811120567
true,0.1834703717268644
true,0.1791463892924525
true,1.0
true,0.14204925632162826
true,1.3695160001530322
true,1.3633974665189805
true,0.2895642990513223
true,0.7396880375122308
true,0.1025531980935652
true,0.22320368841870408
true,0.12935055683635344
true,1.4472777128565357
true,1.0279424547362856
true,0.07428323754934281
true,1.2446263667206505
true,1.3728826419604039
true,0.9713515122902173
true,0.9195465921727729
true,1.648990125183149
true,1.160329013891985
true,0.7413342696411162
true,1.9072640700715917
true,1.6917912242926894
true,0.9887403806650316
true,0.5792899481618032
true,0.5814833344873667
true,2.7614498981470628
true,1.6669362825132004
true,1.9776664461567814
true,0.5413237972337208
true,0.9999999999999999
true,2.3456168973715275
true,2.8342349974995735
true,2.1919885341059184
true,0.7746621158851992
true,4.960799770882021
true,3.8681136009693553
true,0.19601436478874248
true,0.17874179837273635
true,0.8309996763081775
true,1.0327745669611454
true,1.0
true,0.7958004077432912
true,5.69747299301766
true,0.9159170546477708
true,0.44015786145880165
true,0.3906792485892689
true,1.295746834934864
true,1.1117153731918172
true,1.0
true,1.6588729818970662
true,0.84314923383267
true,0.5398562487095694
true,1.0
true,1.681021577294058
true,1.0953225135283116
true,0.6471109760408355
true,0.9999999999999999
true,1.9851841465514066
true,2.952768319649868
true,0.999501377064725
true,0.9336948440809054
true,0.770542937992769
true,0.832358562276095
true,1.1050120057088073
true,2.841547681779087
true,0.8041538170517877
true,2.073224111105875
true,1.0
true,1.0852615072580207
true,0.6713862837433001
true,0.9502696596293778
true,0.9999999999999998
true,2.2882252477415435
true,0.7602831482024445
true,2.115951193849658
true,0.588737267915988
true,1.4112627320840117
true,1.0789769726549578
true,0.9210230273450424
true,1.0693224262387644
true,0.9306775737612357
true,0.6428153121171641
true,0.7781408794454974
true,1.1372655472245996
true,1.0347222259748021
true,0.6915090006783389
true,0.9999999999999998
true,0.6757044247451229
true,2.2529380911922465
true,1.787390951748168
true,1.4628225919073377
true,0.5371774080926619
true,0.8961191443860462
true,1.103880855613954
true,1.5506534026774752
true,0.44934659732252497
true,0.17014783027502842
true,0.9004280934935239
true,1.5957981834709238
true,1.730404515434791
true,0.9999999999999997
true,0.4201600892746498
true,1.1508369056624947
true,1.033773111056425
true,0.9662268889435746
true,1.0536130503111556
true,0.3452814222029308
true,0.4629240470525981
true,4.456947663629609
true,1.1108154513509767
true,0.9463869496888446
true,1.3284601785009795
true,3.326394088687441
true,1.0
true,0.8231697534256401
true,0.3885321078792884
true,0.5692788785967208
true,0.4586391869223432
true,1.0
true,1.5149915885082943
true,1.7068785262716255
true,0.750374701768521
true,1.2496252982314788
true,2.5189394824103144
true,0.9957964937909938
true,1.255375506425261
true,0.7665704813606863
true,0.9999999999999997
true,1.2911636305333183
