fracture_id,point_idx,coord_x,coord_y,prev_angle,next_angle,prev_length,next_length,curvature,closest_seg_0_p1_x,closest_seg_0_p1_y,closest_seg_0_p2_x,closest_seg_0_p2_y,closest_seg_1_p1_x,closest_seg_1_p1_y,closest_seg_1_p2_x,closest_seg_1_p2_y,closest_seg_2_p1_x,closest_seg_2_p1_y,closest_seg_2_p2_x,closest_seg_2_p2_y,closest_seg_3_p1_x,closest_seg_3_p1_y,closest_seg_3_p2_x,closest_seg_3_p2_y
3.0,0,794283.1250107549,980322.8750744238,0.0,-1.240285045315134,0.0,31.584397009607123,0.0,794413.1874146722,980430.1248599292,794413.1874146722,980430.1248599292,794671.499890171,980279.1874977574,794671.499890171,980279.1874977574,794736.3750885054,980189.1876777634,794736.3750885054,980189.1876777634,794671.499890171,979833.8750681804,794671.499890171,979833.8750681804
3.0,1,794293.3749902546,980293.0001341776,1.9013076082746592,-1.5641519062825182,31.584397009607123,37.62575530321366,0.0,794413.1874146722,980430.1248599292,794423.6250578389,980380.1249599232,794671.499890171,980279.1874977574,794630.8123075031,980247.6248968468,794736.3750885054,980189.1876777634,794755.6250500046,980157.875076346,794671.499890171,979833.8750681804,794495.1249148361,979787.8124962598
3.0,2,794293.6249897555,980255.3752094284,1.577440747307275,0.0,37.62575530321366,0.0,0.041248101175725777,794423.6250578389,980380.1249599232,794423.875057336,980340.1250399275,794413.1874146722,980430.1248599292,794423.6250578389,980380.1249599232,794630.8123075031,980247.6248968468,794462.312644504,980153.1250858456,794671.499890171,980279.1874977574,794630.8123075031,980247.6248968468
4.0,0,794367.187506672,981762.5001479238,0.0,2.4466313432541535,0.0,107.16678285944343,0.0,793976.8749670871,981941.8124533443,793976.8749670871,981941.8124533443,794003.6249135882,982125.6874136776,794003.6249135882,982125.6874136776,794740.1250810027,982130.8124034256,794740.1250810027,982130.8124034256,794207.8748331703,981121.3124539256,794207.8748331703,981121.3124539256
4.0,1,794284.8750072531,981831.1250106768,-0.6949613103356399,2.339338798437787,107.16678285944343,146.8338421157457,0.0,793976.8749670871,981941.8124533443,794254.5000680052,981425.6875013412,794003.6249135882,982125.6874136776,794308.6249597557,982315.8750254288,794740.1250810027,982130.8124034256,794888.3124486692,982453.8750775084,794207.8748331703,981121.3124539256,794066.8124512546,981068.124896258
4.0,2,794182.8125473373,981936.6874635963,-0.8022538551520061,2.329550478495732,146.8338421157457,260.44037555514853,0.011962823915003883,793976.8749670871,981941.8124533443,794254.5000680052,981425.6875013412,794003.6249135882,982125.6874136776,794308.6249597557,982315.8750254288,794740.1250810027,982130.8124034256,794888.3124486692,982453.8750775084,793435.8750648387,981864.8749431744,793559.3124820031,981723.8125612588
4.0,3,794003.6249135882,982125.6874136776,-0.812042175094061,0.0,260.44037555514853,0.0,0.007689754930079449,794003.6249135882,982125.6874136776,794308.6249597557,982315.8750254288,793976.8749670871,981941.8124533443,794254.5000680052,981425.6875013412,794344.1248887554,982612.6250880955,794348.812543422,982672.6249680966,793435.8750648387,981864.8749431744,793559.3124820031,981723.8125612588
5.0,0,794517.3125345036,987172.8748258428,0.0,1.9184754369869792,0.0,83.09720941472152,0.0,794433.1873746701,987364.8750980124,794433.1873746701,987364.8750980124,793870.3125161715,987955.9999000132,793870.3125161715,987955.9999000132,793585.8750929199,988019.3751013428,793585.8750929199,988019.3751013428,793158.374963671,987272.6872902588,793158.374963671,987272.6872902588
5.0,1,794488.9999270886,987250.9999976754,-1.2231172166028141,2.026509366614219,83.09720941472152,126.81711037643628,0.0,794433.1873746701,987364.8750980124,794365.125174839,987361.81244009,793870.3125161715,987955.9999000132,793931.8123931699,987884.8123783468,793585.8750929199,988019.3751013428,793675.6249134205,987900.8123463468,793158.374963671,987272.6872902588,792858.8749065027,987042.375086844
5.0,2,794433.1873746701,987364.8750980124,-1.1150832869755745,1.993843919958784,126.81711037643628,235.51217787053605,0.01447160539091063,794433.1873746701,987364.8750980124,794365.125174839,987361.81244009,794365.125174839,987361.81244009,794268.1873765886,987343.8124760912,793675.6249134205,987900.8123463468,794003.6249135882,987334.687494345,793870.3125161715,987955.9999000132,793931.8123931699,987884.8123783468
