,id_arr,coord_x,coord_y
134,32.0,794348.4998800047,956129.1249055937
135,32.0,794458.3126525022,956216.37505918
136,32.0,794729.3124385886,956401.375017263
137,32.0,795266.687676169,956703.8750684261
138,32.0,795747.3750350028,957077.8749765903
139,32.0,795841.6248465031,957134.6248630956
140,32.0,796023.875138171,957302.124856174
141,33.0,793890.8124751709,945788.8125810102
142,33.0,794070.6874435022,945915.6249914244
143,33.0,794400.5001040883,946196.3124221787
144,33.0,794564.6251039207,946362.8124172613
145,33.0,794819.3125866689,946592.3749502599
146,33.0,795092.12503317,946835.1251209304
147,33.0,795402.3124049194,947093.6875959262
148,33.0,795698.1251335032,947323.8124637604
149,33.0,795925.1873434223,947514.1874110922
150,33.0,796067.0000519194,947639.3751528412
151,33.0,796360.3751213364,947908.3126070946
152,33.0,796424.4999930859,947963.4998326749
153,33.0,796454.6249328367,947983.3751210123
154,33.0,796560.3123855032,948077.124933511
155,33.0,796674.3748214208,948151.3124491796
156,33.0,797052.687385004,948331.3750811741
157,33.0,797294.1248942539,948455.4998329282
158,33.0,797468.3125380054,948563.1249457598
159,33.0,797541.8123910055,948604.3125274256
160,33.0,797775.4999157526,948771.6875207573
161,33.0,797785.6248955056,948778.3125075102
162,33.0,797792.3125461712,948788.3124875128
163,33.0,797924.3749460876,948916.1248959303
164,33.0,798091.6249396689,949116.8751505911
165,34.0,793987.8126092553,933769.6250052601
166,34.0,794022.4998758361,933787.1249702573
167,34.0,794301.8749732524,933855.6874971762
168,34.0,794515.4998740889,933920.8750308454
169,34.0,794643.3749464191,933971.1875942573
170,34.0,794735.3750905022,933993.624885343
171,34.0,794954.1249810867,934072.3123920113
172,34.0,795112.6249921694,934116.1249684244
173,35.0,789779.8748309202,959306.8747836798
174,35.0,789674.6250414215,959235.4999264255
175,35.0,789523.3126800023,959142.8124477565
176,35.0,789380.1249742545,959040.1249890924
177,35.0,789336.8123968355,959020.1250290945
178,35.0,789052.999972336,958822.0000972599
179,35.0,788867.1873518378,958704.8750034273
180,35.0,788761.8748984188,958648.1251169294
181,35.0,788710.6250009201,958610.3125285134
182,35.0,788472.3124854192,958475.3751343414
183,36.0,789051.1249760874,959414.0002255961
184,36.0,789005.3124036714,959388.8126119301
185,36.0,788935.1248800047,959354.875015758
186,36.0,788756.49990917,959265.1875310913
187,36.0,788531.0000320859,959144.812443763
188,37.0,788731.6249589212,958869.5000022575
189,37.0,788653.3124515042,958962.3748165071
190,37.0,788611.6248708367,959030.8750075921
191,38.0,792570.6248268373,959663.6250544265
192,38.0,792570.6874907538,959658.6250644252
193,38.0,792269.875100255,959383.374958761
194,38.0,792153.3750051707,959269.8125218451
195,38.0,791979.3750250861,959085.1248990968
196,38.0,791826.6250025034,958934.1248730123
197,38.0,791781.812428087,958882.1873128414
198,38.0,791755.1874813363,958862.1250170097
199,38.0,791652.3123590052,958761.3748904243
200,38.0,791582.6248343363,958684.3123805076
201,38.0,791388.3125589192,958489.8124414235
202,38.0,791084.3125107549,958201.3123622611
203,38.0,790933.1251490861,958050.3750000969
204,39.0,793312.1873200871,959427.3125349283
205,39.0,793105.875068672,959226.3126088455
206,39.0,793058.500163421,959173.875049673
207,39.0,792643.3750094213,958727.8749574274
208,39.0,792563.1875057556,958624.6874997616
209,39.0,792533.1249018386,958598.1248888448
210,39.0,792502.8749623373,958564.8126195073
211,39.0,792492.9999820888,958538.1873446777
212,39.0,792375.8748882525,958411.8125974238
213,39.0,792360.6875826716,958386.6249837577
214,39.0,792049.8748840876,958018.8123991787
215,39.0,791376.8125819191,957313.3751617596
216,39.0,791208.3125908375,957147.8751646802
217,39.0,791151.5000404194,957102.6249270961
218,39.0,791007.3750005886,956943.3125816733
219,39.0,790886.499914255,956790.8748944253
220,39.0,790792.3751025051,956700.8750744238
221,39.0,790603.6251519211,956551.312381424
222,39.0,790318.3124023378,956218.5000549257
223,39.0,790214.3126103356,956106.6249505952
